module,lesson
Day 1,github_collaboration
Day 1,r_data_visualization
Day 1,blank_placeholder
Day 2,github_publishing
Day 2,r_geospatial_vector_analysis
Day 3,r_functions
Day 3,r_packages
Day 4,blank_placeholder
Day 4,blank_placeholder
